"kcmc","xskcdm","kcdm","xf","kclb","kkxy","category","dl","lx"
"比较刑事司法","LAW3011M（02120620）","LAW3011M","2.0","专业课","光华法学院","所有类（专业）","zy_qb","bl"
"比较哲学导论","PHIL2032M（43125010）","PHIL2032M","2.0","专业课","哲学学院","所有类（专业）","zy_qb","bl"
"比较政治学导论","PA2053M（24122420）","PA2053M","2.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"比较政治制度","PA3086M（24121730）","PA3086M","2.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"毕业创作","SAA4005M（04189010）","SAA4005M","6.0","专业课","艺术与考古学院","所有类（专业）","zy_qb","bl"
"毕业论文","ECON4013M（01189010）","ECON4013M","8.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"毕业论文","02189010","02189010","8.0","专业课","光华法学院","所有类（专业）","zy_qb","bl"
"毕业论文","EDU4001M（03189010）","EDU4001M","8.0","专业课","教育学院","所有类（专业）","zy_qb","bl"
"毕业论文","EDU4007M（03189230）","EDU4007M","6.0","专业课","教育学院","所有类（专业）","zy_qb","bl"
"毕业论文","SAA4006M（04189020）","SAA4006M","8.0","专业课","艺术与考古学院","所有类（专业）","zy_qb","bl"
"毕业论文","LIT4201M（04189040）","LIT4201M","10.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"毕业论文","04189270","04189270","10.0","专业课","历史学院","所有类（专业）","zy_qb","bl"
"毕业论文","SIS4901M（05189010）","SIS4901M","8.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"毕业论文","BEFS4071M（13189020）","BEFS4071M","8.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"毕业论文","ENVR4304M（14189030）","ENVR4304M","8.0","专业课","环境与资源学院","所有类（专业）","zy_qb","bl"
"毕业论文","CAS4008M（17189051）","CAS4008M","8.0","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"毕业论文","PHAR4401M（19189010）","PHAR4401M","8.0","专业课","药学院","所有类（专业）","zy_qb","bl"
"毕业论文","MGMT4013M（20189010）","MGMT4013M","8.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"毕业论文","INTC4007M（23189020）","INTC4007M","8.0","专业课","国际教育学院","所有类（专业）","zy_qb","bl"
"毕业论文","PA4010M（24189010）","PA4010M","8.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"毕业论文","MIC4122M（25189010）","MIC4122M","8.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"毕业论文","PHIL4066M（43189020）","PHIL4066M","6.0","专业课","哲学学院","所有类（专业）","zy_qb","bl"
"毕业论文","MARX4003M（55189010）","MARX4003M","8.0","专业课","马克思主义学院","所有类（专业）","zy_qb","bl"
"毕业论文","SAA4007M（56189010）","SAA4007M","10.0","专业课","艺术与考古学院","所有类（专业）","zy_qb","bl"
"毕业论文","SAA4008M（56189011）","SAA4008M","6.0","专业课","艺术与考古学院","所有类（专业）","zy_qb","bl"
"毕业论文","MATH4902M（75189010）","MATH4902M","8.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"毕业论文","PHY4007M（76189010）","PHY4007M","8.0","专业课","物理学院","所有类（专业）","zy_qb","bl"
"毕业论文","CHEM4301M（77189010）","CHEM4301M","8.0","专业课","化学系","所有类（专业）","zy_qb","bl"
"毕业论文","GEOS4007M（78189010）","GEOS4007M","8.0","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"毕业论文","PSY4011M（79189010）","PSY4011M","8.0","专业课","心理与行为科学系","所有类（专业）","zy_qb","bl"
"毕业论文","OPT4056M（84180040）","OPT4056M","8.0","专业课","光电科学与工程学院","所有类（专业）","zy_qb","bl"
"毕业论文（设计）","BIO4087M（07189010）","BIO4087M","8.0","专业课","生命科学学院","所有类（专业）","zy_qb","bl"
"毕业论文（设计）","ENVR4101M（14189040）","ENVR4101M","8.0","专业课","环境与资源学院","所有类（专业）","zy_qb","bl"
"毕业论文（设计）","CAB4035M（16189210）","CAB4035M","8.0","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"毕业论文（设计）","CS4222M（21120460）","CS4222M","8.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"毕业论文（设计）","MIC4125M（25189040）","MIC4125M","8.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"毕业论文（设计）","AA4011M（26189020）","AA4011M","8.0","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"毕业论文写作指导","INTC3004M（23190330）","INTC3004M","1.0","专业课","国际教育学院","所有类（专业）","zy_qb","bl"
"毕业设计","SAA4009M（56189020）","SAA4009M","6.0","专业课","艺术与考古学院","所有类（专业）","zy_qb","bl"
"毕业设计","ENER4201M（59189010）","ENER4201M","14.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"毕业设计","CBE4012M（81189020）","CBE4012M","13.0","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"毕业设计 (论文)","11189070","11189070","10.0","专业课","信息与电子工程学院","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","08189030","08189030","10.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","08189032","08189032","8.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","PSE4303M（09189060）","PSE4303M","10.0","专业课","高分子科学与工程学系","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","10189016","10189016","10.0","专业课","电气工程学院","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","CCEA4739M（12189011）","CCEA4739M","8.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","13189012","13189012","8.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","ENVR4201M（14189071）","ENVR4201M","9.0","专业课","环境与资源学院","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","BME4001M（15189030）","BME4001M","8.0","专业课","生物医学工程与仪器科学学院","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","CS4223M（21189030）","CS4223M","8.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","61189013","61189013","8.0","专业课","机械工程学院","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","63189010","63189010","10.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","OC4011M（69189020）","OC4011M","8.0","专业课","海洋学院","所有类（专业）","zy_qb","bl"
"毕业设计（论文）","CSE4000M（86189010）","CSE4000M","8.0","专业课","控制科学与工程学院","所有类（专业）","zy_qb","bl"
"毕业实习","HIST4067M（04189190）","HIST4067M","4.0","专业课","历史学院","所有类（专业）","zy_qb","bl"
"毕业实习","LIT4202M（04189193）","LIT4202M","4.5","专业课","文学院","所有类（专业）","zy_qb","bl"
"毕业实习","CAB4034M（16188120）","CAB4034M","2.0","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"毕业实习","INTC4006M（23189010）","INTC4006M","2.0","专业课","国际教育学院","所有类（专业）","zy_qb","bl"
"毕业实习","PA4006M（24189033）","PA4006M","3.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"毕业实习","PHIL4065M（43188010）","PHIL4065M","2.0","专业课","哲学学院","所有类（专业）","zy_qb","bl"
"毕业实习和毕业论文（设计）","CAB4033M（16189160）","CAB4033M","10.0","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"编辑策划","LIT3007M（04124701）","LIT3007M","3.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"编译原理","CS3100M（21120471）","CS3100M","4.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"变态心理学","PSY3018M（06120031）","PSY3018M","2.0","专业课","心理与行为科学系","qbkc","xk_rdxkc",""
"并购与重组","MGMT2032M（20196710）","MGMT2032M","2.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"病理科实习","MED5561M（18190090）","MED5561M","2.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"病理生理学（乙）","MED3049M（18120012）","MED3049M","1.5","专业课","基础医学系","所有类（专业）","zy_qb","bl"
"病理与药理学基础","MED2022M（18198180）","MED2022M","4.0","专业课","基础医学系","所有类（专业）","zy_qb","bl"
"病原生物学","MED2023M（18198240）","MED2023M","3.0","专业课","基础医学系","所有类（专业）","zy_qb","bl"
"病原生物学（甲）","MED2024M（18121490）","MED2024M","4.0","专业课","基础医学系","所有类（专业）","zy_qb","bl"
"波谱分析","OC3029M（74120450）","OC3029M","1.5","专业课","海洋学院","所有类（专业）","zy_qb","bl"
"博物馆藏品管理","SAA2009M（56190090）","SAA2009M","2.0","专业课","艺术与考古学院","所有类（专业）","zy_qb","bl"
"博物馆学概论","SAA1004M（56120670）","SAA1004M","3.0","专业课","艺术与考古学院","跨类(专业)选课","xk_1_1","bl"
"博弈论基础","PA0302G（2413N003）","PA0302G","1.5","通识","公共管理学院","全部课程","xk_n","bl"
"不动产估价理论与方法","PA3054M（24120130）","PA3054M","2.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"材料表征Ⅰ","MSE2008M（80120100）","MSE2008M","2.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"材料工艺学Ⅰ","MSE2011M（80120130）","MSE2011M","2.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"材料化学","MSE2005M（80120010）","MSE2005M","2.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"材料计算与设计","MSE3014M（80120020）","MSE3014M","3.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"材料结晶化学","MSE3305M（09192090）","MSE3305M","2.0","专业课","材料科学与工程学院","国际化课程","gjhkc","zl"
"材料科学基础","PSE2103M（65120030）","PSE2103M","3.0","专业课","高分子科学与工程学系","所有类（专业）","zy_qb","bl"
"材料科学基础实验","MSE3016M（63120110）","MSE3016M","2.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"材料科学基础Ⅱ","MSE2002M（80120070）","MSE2002M","4.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"材料科学与工程专业英语","MSE3320M（80120190）","MSE3320M","1.0","专业课","材料科学与工程学院","国际化课程","gjhkc","zl"
"材料科学与人类文明","PSE0400G（6514N001）","PSE0400G","1.5","通识","高分子科学与工程学系","全部课程","xk_n","bl"
"材料力学","CCEA2706M（12122570）","CCEA2706M","3.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"材料力学（甲）","AA2006F（26120450）","AA2006F","5.0","专业基础课程","航空航天学院","所有类（专业）","zy_qb","bl"
"材料力学（乙）","AA2007F（261C0031）","AA2007F","4.0","专业基础课程","航空航天学院","所有类（专业）","zy_qb","bl"
"材料力学实验","AA2009F（261C0080）","AA2009F","0.5","专业基础课程","航空航天学院","所有类（专业）","zy_qb","bl"
"材料微纳米力学","MSE3121M（80190130）","MSE3121M","2.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"材料性能（Ⅰ）","MSE2006M（80120080）","MSE2006M","3.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"财务报表分析","MGMT3001M（20120030）","MGMT3001M","2.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"财政管理专题","ECON3004M（01122330）","ECON3004M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"财政史","ECON2002M（01122370）","ECON2002M","1.5","专业课","经济学院","所有类（专业）","zy_qb","bl"
"测量学（甲）","CCEA2002F（121C0011）","CCEA2002F","2.5","专业基础课程","建筑工程学院","所有类（专业）","zy_qb","bl"
"测量学（乙）","CCEA2003F（121C0012）","CCEA2003F","1.5","专业基础课程","建筑工程学院","所有类（专业）","zy_qb","bl"
"策略传播文案写作","MIC2090M（25121811）","MIC2090M","2.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"插画","SAA2027M（56120190）","SAA2027M","3.0","专业课","艺术与考古学院","所有类（专业）","zy_qb","bl"
"茶树栽培与育种学Ⅱ及实验","16196390","16196390","3.0","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"茶叶化学与综合利用","CAB2405M（16122030）","CAB2405M","4.5","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"茶叶化学与综合利用实验","CAB2406M（16122040）","CAB2406M","1.0","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"茶叶加工与品质管理学Ⅱ","CAB3408M（16122062）","CAB3408M","2.5","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"茶叶综合实习Ⅰ","CAB3422M（16188150）","CAB3422M","1.0","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"茶叶综合实习Ⅱ","CAB3423M（16188160）","CAB3423M","1.0","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"茶与健康","CAB0600G（1614N001）","CAB0600G","1.5","通识","农业与生物技术学院","全部课程","xk_n","bl"
"禅宗历史与中国文化","LIT0907G（0411S021）","LIT0907G","3.0","通识","文学院","全部课程","xk_n","bl"
"产品设计方法","58120550","58120550","2.5","专业课","机械工程学院","所有类（专业）","zy_qb","bl"
"产业组织理论","ECON3005M（01120880）","ECON3005M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"常微分方程","MATH1137F（82120041）","MATH1137F","1.5","专业基础课程","数学科学学院","国际化课程","gjhkc","zl"
"常微分方程","MATH1138F（061B0010）","MATH1138F","1.0","专业基础课程","数学科学学院","跨类(专业)选课","xk_1_1","bl"
"常微分方程","MATH2102M（82120040）","MATH2102M","3.5","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"车辆振动与噪声","ENER3403M（59120220）","ENER3403M","1.5","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"沉积学与古地理学","GEOS3030M（83120230）","GEOS3030M","3.0","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"成长中的亲密关系","ADMN0602G（5216N003）","ADMN0602G","1.5","通识","心理健康教育与咨询中心","全部课程","xk_n","bl"
"城市地理学","CCEA2408M（12120061）","CCEA2408M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"城市地理学","GEOS2019M","GEOS2019M","2.0","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"城市工程地质与水文地质","CCEA2405M（12120071）","CCEA2405M","1.5","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"城市管理学","PA2001M（24120162）","PA2001M","3.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"城市规划管理与法规","CCEA3410M（12120100）","CCEA3410M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"城市规划社会调查专题研究","CCEA4406M（12121830）","CCEA4406M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"城市规划原理Ⅰ","CCEA2409M（12122460）","CCEA2409M","2.0","专业课","建筑工程学院","跨类(专业)选课","xk_1_1","bl"
"城市规划原理Ⅱ","CCEA3403M（12122470）","CCEA3403M","2.0","专业课","建筑工程学院","跨类(专业)选课","xk_1_1","bl"
"城市经济学","CCEA3409M（12120151）","CCEA3409M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"城市科技与规划设计创新","CCEA3406M（12196020）","CCEA3406M","3.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"城市昆虫与资源昆虫学","CAB3336M（16195920）","CAB3336M","2.0","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"城市设计","CCEA4408M（12121841）","CCEA4408M","4.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"城市社会学","CCEA2406M（12193043）","CCEA2406M","1.5","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"城市市政工程系统规划","CCEA3411M（12120182）","CCEA3411M","1.5","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"城市与绿色发展","PA0303G（2413N005）","PA0303G","1.5","通识","公共管理学院","全部课程","xk_n","bl"
"城市总体规划设计","CCEA3407M（12122490）","CCEA3407M","4.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"抽象代数续论","MATH2282M（82120110）","MATH2282M","3.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"抽样调查","MATH3407M（06122190）","MATH3407M","3.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"出土文献导论","LIT2124M（41190050）","LIT2124M","2.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"初等数论","MATH2202M（82120650）","MATH2202M","3.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"畜产品加工学","CAS3040M（17195340）","CAS3040M","2.0","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"畜牧微生物学","CAS3056M（17120880）","CAS3056M","3.0","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"传播心理学","MIC1108M（25122000）","MIC1108M","2.0","专业课","传媒与国际文化学院","跨类(专业)选课","xk_1_1","bl"
"传播学概论","MIC1002M（25120030）","MIC1002M","2.0","专业课","传媒与国际文化学院","跨类(专业)选课","xk_1_1","bl"
"传播与社会","25190020","25190020","2.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"传感器技术","AA3028M（26190200）","AA3028M","2.5","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"传染病科实习","MED5526M（18190100）","MED5526M","2.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"传染病学","MED4514M（18120040）","MED4514M","2.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"传染性疾病","MED3553M（18121640）","MED3553M","2.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"传统节日与中国文化","LIT0102G（0411N007）","LIT0102G","1.5","通识","文学院","全部课程","xk_n","bl"
"传统武术","EDU3022M（03123020）","EDU3022M","2.0","专业课","教育学院","所有类（专业）","zy_qb","bl"
"创新创业实践启蒙","ADMN0707G1","ADMN0707G1","2.0","通识","创新创业学院","全部课程","xk_n","bl"
"创新管理","MGMT2022M（20125070）","MGMT2022M","2.0","专业课","管理学院","qbkc","xk_rdxkc",""
"创新设计方法与实践","ME2307M（58120590）","ME2307M","2.5","专业课","机械工程学院","qbkc","xk_rdxkc",""
"创新设计历史与未来","CS2280M","CS2280M","2.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"创业基础","ADMN0300G（U71P0010）","ADMN0300G","1.5","通识","创新创业学院","全部课程","xk_n","bl"
"创业启程","MGMT0306G（031P0020）","MGMT0306G","2.0","通识","管理学院","全部课程","xk_n","bl"
"创业实践：从0到1","MGMT0701G（201P0010）","MGMT0701G","2.0","通识","管理学院","全部课程","xk_n","bl"
"创意课程与学习","EDU3001M（03123470）","EDU3001M","2.0","专业课","教育学院","所有类（专业）","zy_qb","bl"
"词汇和语义演变研究","LIT2113M（04125370）","LIT2113M","2.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"磁共振成像原理及应用","BME3021M（15120593）","BME3021M","3.0","专业课","生物医学工程与仪器科学学院","所有类（专业）","zy_qb","bl"
"磁学基础和先进磁性纳米材料","MSE3323M（80190150）","MSE3323M","2.0","专业课","材料科学与工程学院","国际化课程","gjhkc","zl"
"催化化学","CHEM3202M（77120100）","CHEM3202M","3.0","专业课","化学系","所有类（专业）","zy_qb","bl"
"催化剂工程","CBE3011M（09191090）","CBE3011M","2.0","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"打开艺术之门——钢琴","PPAE0706G（4817N013）","PPAE0706G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——古琴","PPAE0714G","PPAE0714G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——建筑艺术表达","CCEA0701G","CCEA0701G","2.0","通识","建筑工程学院","全部课程","xk_n","bl"
"打开艺术之门——流行演唱","PPAE0711G（4817N048）","PPAE0711G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——美声","PPAE0710G（4817N047）","PPAE0710G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——琵琶","PPAE0709G（4817N016）","PPAE0709G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——萨克斯","PPAE0701G（4817N002）","PPAE0701G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——书法","PPAE0705G（4817N012）","PPAE0705G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——水彩画","PPAE0713G","PPAE0713G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——舞蹈即兴与创作","PPAE0717G","PPAE0717G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——戏剧","PPAE0707G（4817N014）","PPAE0707G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——音乐剧","PPAE0716G","PPAE0716G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——油画","PPAE0712G","PPAE0712G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——越剧","PPAE0715G","PPAE0715G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——中国古典舞","PPAE0708G（4817N015）","PPAE0708G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——中国画","PPAE0704G（4817N010）","PPAE0704G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"打开艺术之门——装饰画","CS0702G","CS0702G","2.0","通识","计算机科学与技术学院","全部课程","xk_n","bl"
"大功率变流技术","EE3569M（10120580）","EE3569M","2.0","专业课","电气工程学院","所有类（专业）","zy_qb","bl"
"大规模信息系统构建技术导论","CS3109M（21191940）","CS3109M","2.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"大规模信息系统开发试验","CS3110M（21191950）","CS3110M","3.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"大跨空间结构","CCEA3740M（12120240）","CCEA3740M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"大脑与社会","MED0920G（8716S001）","MED0920G","3.0","通识","脑科学与脑医学系","全部课程","xk_n","bl"
"大气辐射","GEOS2018M（06197360）","GEOS2018M","2.0","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"大气复合污染控制","CBE3007M（09121010）","CBE3007M","2.0","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"大气科学程序设计","GEOS2017M（83120740）","GEOS2017M","2.5","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"大气探测学","GEOS1005M（83120640）","GEOS1005M","3.0","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"大气污染控制工程（甲）","ENVR3211M（14120691）","ENVR3211M","4.0","专业课","环境与资源学院","所有类（专业）","zy_qb","bl"
"大气污染控制工程实验","ENVR3212M（14195560）","ENVR3212M","1.0","专业课","环境与资源学院","所有类（专业）","zy_qb","bl"
"大气污染控制原理与技术","ENVR3110M（14120801）","ENVR3110M","2.0","专业课","环境与资源学院","所有类（专业）","zy_qb","bl"
"大气物理和化学","GEOS2015M（83120650）","GEOS2015M","3.0","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"大数据存储与计算技术","CS3112M（21121940）","CS3112M","2.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"大数据分析","PA2084M","PA2084M","3.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"大数据如何改变世界","CSE0408G（8614N009）","CSE0408G","2.0","通识","控制科学与工程学院","全部课程","xk_n","bl"
"大学化学实验（A）","CHEM1006F（061B0360）","CHEM1006F","1.0","专业基础课程","化学系","跨类(专业)选课","xk_1_1","bl"
"大学化学实验（O）","CHEM1007F（061B0380）","CHEM1007F","1.5","专业基础课程","","跨类(专业)选课","xk_1_1","bl"
"大学化学实验（P）","CHEM2003F（061B0390）","CHEM2003F","1.5","专业基础课程","化学系","所有类（专业）","zy_qb","bl"
"大学计算机基础","INTC1019M（23189030）","INTC1019M","2.0","专业课","国际教育学院","跨类(专业)选课","xk_1_1","bl"
"大学生朋辈心理辅导","ADMN0603G（5216N004）","ADMN0603G","2.0","通识","心理健康教育与咨询中心","全部课程","xk_n","bl"
